url,name,title,direccion,horario,disponibilidad,province,latitude,longitude
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=36401L6D1&nombre=U.D.%20DE%20MAR%C3%8DN&seleccion=hora&espera=1,U.D. DE MARÍN,"U.D. DE MARÍN CALLE LAMEIRA 27, (MARIN)","CALLE LAMEIRA 27, (MARIN)",LMXJ 09:00-14:30/16:00-19:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Pontevedra,42.393377,-8.7046384
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=36609A6D1&nombre=U.D.%20DE%20PONTEVEDRA&seleccion=hora&espera=1,U.D. DE PONTEVEDRA,"U.D. DE PONTEVEDRA CALLE FERNÁNDEZ VILLAVERDE, NÚM. 1, (PONTEVEDRA)","CALLE FERNÁNDEZ VILLAVERDE, NÚM. 1, (PONTEVEDRA)",LMXJ 09:00-19:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Pontevedra,42.4318122,-8.6450681
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=36801P6D1&nombre=U.D.%20DE%20SALVATERRA%20DE%20MI%C3%91O&seleccion=hora&espera=1,U.D. DE SALVATERRA DE MIÑO,"U.D. DE SALVATERRA DE MIÑO RUA MATÍAS CANDEIRA Nº1, (SALVATERRA DE MIÑO)","RUA MATÍAS CANDEIRA Nº1, (SALVATERRA DE MIÑO)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Pontevedra,42.0797677,-8.4976404
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=36881P6D1&nombre=U.D.%20DE%20TUI&seleccion=hora&espera=1,U.D. DE TUI,"U.D. DE TUI CALLE PARROCO RODRIGUEZ VAZQUEZ, 1, (TUI)","CALLE PARROCO RODRIGUEZ VAZQUEZ, 1, (TUI)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Pontevedra,42.0463984,-8.6443652
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=36913L6D3&nombre=U.D.%20DE%20VIGO&seleccion=hora&espera=1,U.D. DE VIGO,"U.D. DE VIGO RUA ALVARO CUNQUEIRO, 6, (VIGO)","RUA ALVARO CUNQUEIRO, 6, (VIGO)",LMXJ 09:00-14:30/16:00-19:00; V 09:00-14:30; S 09:00-14:00; D sin hora,Disponibilidad de citas: Alta,Pontevedra,42.2245767,-8.731297000000001
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=36961L6D1&nombre=U.D.%20DE%20VILAGARC%C3%8DA%20DE%20AROUSA&seleccion=hora&espera=1,U.D. DE VILAGARCÍA DE AROUSA,"U.D. DE VILAGARCÍA DE AROUSA AVENIDA DE LA MARINA, 9, (VILAGARCIA DE AROUSA)","AVENIDA DE LA MARINA, 9, (VILAGARCIA DE AROUSA)",LMXJ 09:00-14:30/16:00-19:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Pontevedra,42.6146638,-8.7766194
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33037L6D1&nombre=U.D.%20DE%20AVILES&seleccion=hora&espera=1,U.D. DE AVILES,"U.D. DE AVILES CALLE RIO SAN MARTIN, 2, (AVILES)","CALLE RIO SAN MARTIN, 2, (AVILES)",LMXJ 09:00-14:30/16:00-19:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.5510193,-5.9314358
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33277L6D1&nombre=U.D.%20DE%20GIJ%C3%93N-1&seleccion=hora&espera=1,U.D. DE GIJÓN-1,"U.D. DE GIJÓN-1 PLAZA PADRE MAXIMO GONZALEZ, S/N, (GIJON/XIXON)","PLAZA PADRE MAXIMO GONZALEZ, S/N, (GIJON/XIXON)",LMXJ 09:00-14:30/16:00-19:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.5398048,-5.6779828
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33277L6D2&nombre=U.D.%20DE%20GIJ%C3%93N-2&seleccion=hora&espera=1,U.D. DE GIJÓN-2,"U.D. DE GIJÓN-2 CALLE FEIJOO 44, (GIJON/XIXON)","CALLE FEIJOO 44, (GIJON/XIXON)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.5318891,-5.650671600000001
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33361L6D1&nombre=U.D.%20DE%20LANGREO&seleccion=hora&espera=1,U.D. DE LANGREO,"U.D. DE LANGREO CALLE CONDE SIZZO 1, (LANGREO/LLANGREU)","CALLE CONDE SIZZO 1, (LANGREO/LLANGREU)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.3055086,-5.691039000000001
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33421L6D1&nombre=U.D.%20DE%20LUARCA&seleccion=hora&espera=1,U.D. DE LUARCA,"U.D. DE LUARCA CALLE OLAVARRIETA 25, (LUARCA)","CALLE OLAVARRIETA 25, (LUARCA)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.544374,-6.533836200000001
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33433L6D1&nombre=U.D.%20DE%20MIERES&seleccion=hora&espera=1,U.D. DE MIERES,"U.D. DE MIERES CALLE VALERIANO MIRANDA, 39, (MIERES)","CALLE VALERIANO MIRANDA, 39, (MIERES)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.2482701,-5.776272899999999
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33517A6D1&nombre=U.D.%20DE%20OVIEDO&seleccion=hora&espera=1,U.D. DE OVIEDO,"U.D. DE OVIEDO CALLE GENERAL YAGÜE, 9, (OVIEDO)","CALLE GENERAL YAGÜE, 9, (OVIEDO)",LMXJ 09:00-14:30/15:00-19:00; V 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.3619145,-5.8493887
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33769L6D1&nombre=U.D.%20DE%20SIERO&seleccion=hora&espera=1,U.D. DE SIERO,"U.D. DE SIERO CALLE MAESTROS MARTIN GALACHE, S/N, (LA POLA SIERO)","CALLE MAESTROS MARTIN GALACHE, S/N, (LA POLA SIERO)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Media,Asturias,43.3873896,-5.662940799999999
https://www.citapreviadnie.es/citaPreviaDniExp/ObtenerFechaCitaEspera.action?op=obMeses&equipo=33769L6D2&nombre=U.D.%20DE%20LUGONES&seleccion=hora&espera=1,U.D. DE LUGONES,"U.D. DE LUGONES C/ MONTE NARANCO ESQUINA ALEJANDRO CASONA, (SIERO)","C/ MONTE NARANCO ESQUINA ALEJANDRO CASONA, (SIERO)",LMXJV 09:00-14:30; SD sin horario,Disponibilidad de citas: Alta,Asturias,43.4026128,-5.8124653
